6927: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 159, identificador: 65
6938: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 160, identificador: 65
6939: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 161, identificador: 65
6949: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 162, identificador: 65
6960: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 163, identificador: 65
6960: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 164, identificador: 65
6971: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 165, identificador: 65
6982: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 166, identificador: 65
6982: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 167, identificador: 65
6993: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 168, identificador: 65
7004: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 169, identificador: 65
7004: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 170, identificador: 65
7015: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 171, identificador: 65
7015: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 172, identificador: 65
7026: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 173, identificador: 65
7037: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 174, identificador: 65
7037: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 175, identificador: 65
7048: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 176, identificador: 65
7058: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 177, identificador: 65
7059: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 178, identificador: 65
7070: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 179, identificador: 65
7080: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 180, identificador: 65
7081: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 181, identificador: 65
7092: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 182, identificador: 65
7102: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 183, identificador: 65
7103: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 184, identificador: 65
7113: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 185, identificador: 65
7124: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 186, identificador: 65
7124: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 187, identificador: 65
7135: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 188, identificador: 65
7146: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 189, identificador: 65
7146: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 190, identificador: 65
7157: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 191, identificador: 65
7157: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 192, identificador: 65
7168: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 193, identificador: 65
7179: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 194, identificador: 65
7179: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 195, identificador: 65
7190: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 196, identificador: 65
7201: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 197, identificador: 65
7201: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 198, identificador: 65
7212: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 199, identificador: 65
7222: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 200, identificador: 65
7223: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 201, identificador: 65
7233: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 202, identificador: 65
7244: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 203, identificador: 65
7245: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 204, identificador: 65
7255: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 205, identificador: 65
7266: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 206, identificador: 65
7266: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 207, identificador: 65
7277: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 208, identificador: 65
7288: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 209, identificador: 65
7288: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 210, identificador: 65
7299: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 211, identificador: 65
7309: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 212, identificador: 65
7310: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 213, identificador: 65
7321: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 214, identificador: 65
7321: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 215, identificador: 65
7332: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 216, identificador: 65
7342: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 217, identificador: 65
7343: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 218, identificador: 65
7354: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 219, identificador: 65
7364: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 220, identificador: 65
7365: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 221, identificador: 65
7375: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 222, identificador: 65
7386: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 223, identificador: 65
7386: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 224, identificador: 65
7397: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 225, identificador: 65
7408: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 226, identificador: 65
7408: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 227, identificador: 65
7419: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 228, identificador: 65
7430: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 229, identificador: 65
7430: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 230, identificador: 65
7441: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 231, identificador: 65
7451: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 232, identificador: 65
7452: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 233, identificador: 65
7463: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 234, identificador: 65
7473: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 235, identificador: 65
7474: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 236, identificador: 65
7484: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 237, identificador: 65
7485: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 238, identificador: 65
7495: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 239, identificador: 65
7506: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 240, identificador: 65
7507: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 241, identificador: 65
7517: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 242, identificador: 65
7528: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 243, identificador: 65
7528: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 244, identificador: 65
7539: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 245, identificador: 65
7550: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 246, identificador: 65
7550: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 247, identificador: 65
7561: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 248, identificador: 65
7571: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 249, identificador: 65
7572: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 250, identificador: 65
7583: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 251, identificador: 65
7593: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 252, identificador: 65
7594: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 253, identificador: 65
7604: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 254, identificador: 65
7615: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 255, identificador: 65
7615: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 256, identificador: 65
7626: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 257, identificador: 65
7637: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 258, identificador: 65
7637: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 259, identificador: 65
7648: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 260, identificador: 65
7659: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 261, identificador: 65
